WORD	EXPRESSED_MORAL	word_matches_potential_word_from data	adjusted_endorsement	most_similar_moral_word	word_matches_moral_word_from_original lexicon	similarity
first	6.466666666666666	Y	5.9692307692307685	rank	Y	0.9230769230769231
election	5.16666666667		4.696969696972728	status		0.9090909090909091
left	7.6	Y	7.015384615384615	position	Y	0.9230769230769231
leave	6.5	Y	6.0	permission	Y	0.9230769230769231
call	8.0		7.384615384615385	order		0.9230769230769231
marine	7.0	Y	6.461538461538462	orderly	Y	0.9230769230769231
agreement	4.375		4.038461538461538	submission		0.9230769230769231
control	8.799999999999997	Y	8.12307692307692	authority	Y	0.9230769230769231
tolerance	3.0	Y	2.769230769230769	disinterest	Y	0.9230769230769231
face	5.16666666667	Y	4.696969696972728	status		0.9090909090909091
stand	7.6	Y	7.015384615384615	position	Y	0.9230769230769231
love	6.666666666669999	Y	6.222222222225333	devotion	Y	0.9333333333333333
criminal	1.75		1.673913043478261	traitor	Y	0.9565217391304348
indulgence	5.16666666667	Y	4.696969696972728	indiscipline	Y	0.9090909090909091
lead	8.8	Y	8.213333333333335	leadership	Y	0.9333333333333333
line	4.66666666667	Y	4.3921568627482355	orphan		0.9411764705882353
world	6.875	Y	6.25	class		0.9090909090909091
let	4.8	Y	4.608	serve	Y	0.96
front	7.6	Y	7.015384615384615	position	Y	0.9230769230769231
arsonist	1.75	Y	1.6041666666666665	traitor	Y	0.9166666666666666
center	7.6	Y	7.152941176470588	position	Y	0.9411764705882353
right	7.6	Y	7.015384615384615	position	Y	0.9230769230769231
back	7.6	Y	7.015384615384615	position	Y	0.9230769230769231
job	7.166666666669999		6.7450980392188224	duty		0.9411764705882353
retirement	5.16666666667	Y	4.696969696972728	status		0.9090909090909091
respect	6.666666666669999	Y	6.06060606060909	reverence		0.9090909090909091
denial	3.85714285714	Y	3.5999999999973333	refusal	Y	0.9333333333333333
demand	7.285714285710001		6.799999999996001	command	Y	0.9333333333333333
work	7.166666666669999	Y	6.6888888888919995	duty		0.9333333333333333
power	8.0	Y	7.2727272727272725	control	Y	0.9090909090909091
book	8.799999999999997	Y	8.380952380952378	authority	Y	0.9523809523809523
supporter	7.8		7.389473684210525	loyalist	Y	0.9473684210526315
shame	6.0	Y	5.6	dishonor	Y	0.9333333333333333
approval	6.5	Y	5.909090909090909	permission	Y	0.9090909090909091
last	6.466666666666666	Y	5.9692307692307685	rank	Y	0.9230769230769231
polls	7.6	Y	7.015384615384615	position	Y	0.9230769230769231
wing	7.6	Y	7.015384615384615	position	Y	0.9230769230769231
announce	4.0		3.6363636363636362	denounce		0.9090909090909091
country	6.333333333330001	Y	5.960784313722353	fatherland	Y	0.9411764705882353
ma	6.5	Y	6.259259259259259	mother	Y	0.9629629629629629
wish	8.0	Y	7.384615384615385	order		0.9230769230769231
pledge	7.666666666669999	Y	6.969696969699999	brother	Y	0.9090909090909091
role	7.6	Y	7.093333333333333	position	Y	0.9333333333333333
team	3.8	Y	3.5466666666666664	offense		0.9333333333333333
rule	8.0		7.384615384615385	order	Y	0.9230769230769231
father	7.666666666669999	Y	7.382716049385925	dad	Y	0.9629629629629629
policy	8.0	Y	7.2727272727272725	control	Y	0.9090909090909091
second	6.466666666666666	Y	5.9692307692307685	rank	Y	0.9230769230769231
stance	7.6	Y	7.015384615384615	position	Y	0.9230769230769231
condition	6.666666666669999		6.06060606060909	deification	Y	0.9090909090909091
warn	8.0		7.529411764705882	order		0.9411764705882353
failure	3.4	Y	3.1733333333333333	nonconformity	Y	0.9333333333333333
young	4.66666666667	Y	4.3921568627482355	orphan		0.9411764705882353
labor	6.875	Y	6.25	class		0.9090909090909091
sovereignty	8.799999999999997	Y	8.213333333333331	authority	Y	0.9333333333333333
crime	2.642857142855	Y	2.5037593984942106	treason	Y	0.9473684210526315
toast	6.333333333330001	Y	5.911111111108001	honor		0.9333333333333333
point	7.6	Y	6.909090909090908	position	Y	0.9090909090909091
body	6.4	Y	5.818181818181818	exemplify		0.9090909090909091
post	7.6	Y	7.015384615384615	position	Y	0.9230769230769231
care	5.833333333330001	Y	5.4901960784282355	maternalism	Y	0.9411764705882353
art	4.75	Y	4.433333333333334	fortification		0.9333333333333333
status	4.5	Y	4.090909090909091	caste		0.9090909090909091
