WORD	EXPRESSED_MORAL	word_matches_potential_word_from data	adjusted_endorsement	most_similar_moral_word	word_matches_moral_word_from_original lexicon	similarity
danger	2.6		2.4000000000000004	riskiness		0.9230769230769231
control	6.8	Y	6.2333333333333325	protectionism	Y	0.9166666666666666
reserve	7.6		7.015384615384615	keep_open		0.9230769230769231
handle	3.4		3.1384615384615384	pommel		0.9230769230769231
appreciation	8.57142857143		8.067226890757647	understanding		0.9411764705882353
enemy	1.6666666666699999	Y	1.5555555555586666	military_unit		0.9333333333333333
stab	3.4		3.090909090909091	punch		0.9090909090909091
push	2.4		2.2588235294117647	urge		0.9411764705882353
campaign	1.6666666666699999		1.5873015873047618	war	Y	0.9523809523809523
come_out_of_the_closet	2.1666666666666696		2.0000000000000027	unwrap		0.9230769230769231
out	2.1666666666666696	Y	2.0000000000000027	unwrap		0.9230769230769231
threat	2.6		2.4266666666666667	menace		0.9333333333333333
attack	5.0		4.7368421052631575	crime		0.9473684210526315
call	2.6		2.463157894736842	visit		0.9473684210526315
invalidate	2.1666666666666696		1.9696969696969724	break		0.9090909090909091
marine	7.8	Y	7.2	peacekeeper	Y	0.9230769230769231
drop	8.8	Y	8.213333333333335	depository	Y	0.9333333333333333
support	8.799999999999997		8.213333333333331	aid		0.9333333333333333
agreement	5.42857142857		5.010989010987692	harmony		0.9230769230769231
stand	5.0	Y	4.705882352941177	defense	Y	0.9411764705882353
love	8.166666666669999	Y	7.622222222225332	lovingness		0.9333333333333333
treaty	7.8	Y	7.389473684210525	peace	Y	0.9473684210526315
camp	7.0	Y	6.588235294117647	shelter	Y	0.9411764705882353
Bedlam	6.75		6.428571428571428	mental_hospital		0.9523809523809523
facing	8.0	Y	7.466666666666667	protective_covering		0.9333333333333333
hood	1.0		0.9166666666666666	murderer	Y	0.9166666666666666
bully	2.33333333333		2.121212121209091	beast		0.9090909090909091
assault	2.66666666667		2.539682539685714	attack	Y	0.9523809523809523
company	5.42857142857		5.010989010987692	friendship	Y	0.9230769230769231
position	8.8		8.282352941176471	custodianship	Y	0.9411764705882353
status	7.0		6.363636363636363	dignity	Y	0.9090909090909091
frame	1.8333333333333304		1.736842105263155	give_voice		0.9473684210526315
place	6.75		6.3	sanctuary		0.9333333333333333
invest	7.0		6.363636363636363	shelter	Y	0.9090909090909091
stay	2.6	Y	2.4000000000000004	sojourn		0.9230769230769231
care	8.6		8.094117647058823	healthcare	Y	0.9411764705882353
aid	6.75		6.3	recourse		0.9333333333333333
occupation	2.83333333333		2.6444444444413335	employment		0.9333333333333333
line	1.8333333333333304		1.7254901960784286	actor's_line		0.9411764705882353
sphere	7.6		7.093333333333333	preserve		0.9333333333333333
domain	8.8		8.123076923076924	suzerainty	Y	0.9230769230769231
mass	2.4	Y	2.1818181818181817	press		0.9090909090909091
bill	1.0		0.9473684210526315	dollar		0.9473684210526315
grant	8.799999999999997	Y	8.282352941176468	aid		0.9411764705882353
death	1.6	Y	1.5238095238095237	killing		0.9523809523809523
endorsement	8.0	Y	7.578947368421052	auspices		0.9473684210526315
future	2.4	Y	2.2153846153846155	commodity		0.9230769230769231
use	2.5	Y	2.3333333333333335	misuse		0.9333333333333333
employment	4.0		3.764705882352941	engagement		0.9411764705882353
class	5.42857142857		4.935064935063636	brotherhood	Y	0.9090909090909091
single	8.2		7.809523809523808	base_hit		0.9523809523809523
arsonist	1.0	Y	0.9166666666666666	murderer	Y	0.9166666666666666
eye	8.799999999999997		8.213333333333331	attention		0.9333333333333333
center	6.8	Y	6.181818181818182	guard	Y	0.9090909090909091
run	3.0	Y	2.8	damage	Y	0.9333333333333333
Department_of_State	5.0		4.615384615384616	Department_of_Defense		0.9230769230769231
state	8.8	Y	8.282352941176471	suzerain	Y	0.9411764705882353
spring	2.1666666666666696		2.0000000000000027	unwrap		0.9230769230769231
chance	2.6	Y	2.4761904761904763	risk		0.9523809523809523
stinger	2.5		2.307692307692308	abuse	Y	0.9230769230769231
cut	2.2857142857099997		2.176870748295238	wound		0.9523809523809523
snub	3.0		2.8421052631578947	rebuff	Y	0.9473684210526315
program	2.2		2.0842105263157897	patch		0.9473684210526315
binding	8.0		7.466666666666667	protective_covering		0.9333333333333333
turn	2.66666666667		2.4888888888919998	attack	Y	0.9333333333333333
bargain	8.57142857143		7.9120879120892305	agreement		0.9230769230769231
lookout	6.8		6.181818181818182	guard	Y	0.9090909090909091
tell	2.1666666666666696	Y	1.9696969696969724	unwrap		0.9090909090909091
attentiveness	8.799999999999997		8.213333333333331	attention		0.9333333333333333
net_income	1.6		1.5238095238095237	killing	Y	0.9523809523809523
pay	2.6	Y	2.3636363636363638	digest		0.9090909090909091
criminal	1.0	Y	0.9565217391304348	murderer	Y	0.9565217391304348
emergence	1.0		0.9333333333333333	eruption		0.9333333333333333
holocaust	3.4	Y	3.2380952380952377	destruction		0.9523809523809523
Holocaust	1.6		1.4545454545454546	killing		0.9090909090909091
denial	5.0	Y	4.615384615384616	defense_mechanism		0.9230769230769231
bank	8.8	Y	8.213333333333335	depository	Y	0.9333333333333333
immorality	1.6		1.4545454545454546	licentiousness		0.9090909090909091
work	8.799999999999997	Y	8.213333333333331	care	Y	0.9333333333333333
ending	1.14285714285714		1.0549450549450523	destruction	Y	0.9230769230769231
finish	1.4	Y	1.3066666666666666	downfall		0.9333333333333333
advertise	4.0		3.6363636363636362	crusade		0.9090909090909091
book	8.57142857143	Y	8.000000000001332	Ruth		0.9333333333333333
destruction	1.33333333333	Y	1.2698412698380952	annihilation	Y	0.9523809523809523
devastation	1.4		1.3263157894736841	ruin	Y	0.9473684210526315
blessing	8.57142857143		8.120300751881052	admiration	Y	0.9473684210526315
attempt	4.0		3.7333333333333334	struggle		0.9333333333333333
projection	5.0		4.615384615384616	defense_mechanism		0.9230769230769231
undertaking	2.83333333333		2.6444444444413335	work		0.9333333333333333
reverence	8.57142857143		7.79220779220909	respect		0.9090909090909091
fight	1.0		0.9411764705882353	battering		0.9411764705882353
combat	4.0	Y	3.764705882352941	battle		0.9411764705882353
battle	4.0		3.764705882352941	combat		0.9411764705882353
quarrel	1.8333333333333304		1.7111111111111084	brawl		0.9333333333333333
confidant	8.8		8.336842105263159	repository		0.9473684210526315
strain	2.2857142857099997		2.165413533830526	injury		0.9473684210526315
end	6.8	Y	6.2333333333333325	guard	Y	0.9166666666666666
area	6.75		6.230769230769231	safety		0.9230769230769231
better	2.4	Y	2.1818181818181817	good		0.9090909090909091
energy	1.6666666666699999		1.5555555555586666	force		0.9333333333333333
laying_waste	3.4		3.2380952380952377	destruction		0.9523809523809523
ruin	3.4	Y	3.1999999999999997	devastation		0.9411764705882353
harmony	7.8		7.2	peace	Y	0.9230769230769231
promise	4.0		3.7333333333333334	betrothal		0.9333333333333333
gift	8.799999999999997		8.213333333333331	aid		0.9333333333333333
building	1.4	Y	1.3066666666666666	ruin	Y	0.9333333333333333
team	5.0	Y	4.666666666666667	defense	Y	0.9333333333333333
blow	1.0		0.9411764705882353	knock		0.9411764705882353
brush	4.0		3.764705882352941	fight		0.9411764705882353
bump	2.2857142857099997		2.165413533830526	injury		0.9473684210526315
dominion	8.8		8.213333333333335	suzerainty	Y	0.9333333333333333
gratuity	8.8		8.0	appanage	Y	0.9090909090909091
joust	4.0		3.764705882352941	struggle		0.9411764705882353
controversy	4.0		3.789473684210526	fight		0.9473684210526315
inclination	8.57142857143		7.9120879120892305	sympathy	Y	0.9230769230769231
Father	1.8333333333333304		1.6666666666666639	Son		0.9090909090909091
decline	1.75		1.6153846153846154	wreck	Y	0.9230769230769231
pan	2.6		2.4000000000000004	disparage		0.9230769230769231
policy	6.8	Y	6.181818181818182	isolationism	Y	0.9090909090909091
head	1.8333333333333304	Y	1.6923076923076896	word		0.9230769230769231
momentum	1.6666666666699999		1.5555555555586666	force		0.9333333333333333
termination	3.4		3.221052631578947	destruction		0.9473684210526315
statement	1.8333333333333304		1.6666666666666639	word		0.9090909090909091
stance	8.799999999999997	Y	8.213333333333331	attention		0.9333333333333333
condition	7.6		6.909090909090908	preservation	Y	0.9090909090909091
Department_of_Justice	5.0		4.615384615384616	Department_of_Defense		0.9230769230769231
fire	2.66666666667	Y	2.5098039215717645	attack	Y	0.9411764705882353
fall_out	4.0		3.7333333333333334	quarrel		0.9333333333333333
pass	6.0		5.6	safe-conduct		0.9333333333333333
kill	3.4	Y	3.2380952380952377	destruction		0.9523809523809523
Department_of_Agriculture	5.0		4.615384615384616	Department_of_Defense		0.9230769230769231
failure	3.8333333333333295	Y	3.5777777777777744	disorder		0.9333333333333333
antonym	1.8333333333333304		1.6923076923076896	word		0.9230769230769231
offer	4.6		4.246153846153846	threaten		0.9230769230769231
rank_and_file	1.6666666666699999		1.5384615384646154	force		0.9230769230769231
rank	8.8		8.123076923076924	viscountcy	Y	0.9230769230769231
rest	2.1666666666666696	Y	1.9696969696969724	pause		0.9090909090909091
horse	1.0	Y	0.9523809523809523	vaulting_horse		0.9523809523809523
knock	3.4	Y	3.090909090909091	punch		0.9090909090909091
Young	8.57142857143		7.79220779220909	Ruth		0.9090909090909091
pressure	1.6666666666699999	Y	1.5555555555586666	force		0.9333333333333333
Department_of_Labor	5.0		4.615384615384616	Department_of_Defense		0.9230769230769231
labor	2.83333333333	Y	2.6444444444413335	work		0.9333333333333333
raise	2.6	Y	2.3636363636363638	risk		0.9090909090909091
secret	1.8333333333333304		1.6923076923076896	password		0.9230769230769231
decrease	7.0		6.63157894736842	tax_shelter		0.9473684210526315
safe	8.8	Y	8.336842105263159	strongbox	Y	0.9473684210526315
rush	2.66666666667	Y	2.526315789476842	onrush		0.9473684210526315
job	2.83333333333		2.6444444444413335	workplace		0.9333333333333333
criticism	1.0	Y	0.9230769230769231	fire		0.9230769230769231
goal	8.2		7.454545454545453	safety	Y	0.9090909090909091
service	2.83333333333		2.6666666666635295	employment		0.9411764705882353
overhaul	8.799999999999997		8.417391304347824	care	Y	0.9565217391304348
military_service	1.6666666666699999		1.5384615384646154	force		0.9230769230769231
wisdom	2.4	Y	2.1818181818181817	good		0.9090909090909091
argument	1.8333333333333304		1.6923076923076896	discussion		0.9230769230769231
boost	8.799999999999997		8.213333333333331	aid		0.9333333333333333
discourtesy	2.5		2.3529411764705883	insult		0.9411764705882353
crime	2.66666666667	Y	2.526315789476842	attack	Y	0.9473684210526315
