WORD	EXPRESSED_MORAL	word_matches_potential_word_from data	adjusted_endorsement	most_similar_moral_word	word_matches_moral_word_from_original lexicon	similarity
vote	5.16666666667	Y	4.696969696972728	body		0.9090909090909091
embody	5.16666666667		4.920634920638095	body		0.9523809523809523
clasp	2.7142857142900003		2.5546218487435297	grasping		0.9411764705882353
control	2.7142857142900003	Y	2.5333333333373336	grasping		0.9333333333333333
campaign	5.5		5.238095238095238	consumerism	Y	0.9523809523809523
left	8.166666666669999	Y	7.4242424242454526	right	Y	0.9090909090909091
digest	7.83333333333333		7.121212121212118	accept		0.9090909090909091
support	7.2		6.776470588235294	andiron		0.9411764705882353
defend	5.71428571429	Y	5.19480519480909	apologize		0.9090909090909091
back	5.71428571429		5.333333333337333	guarantee		0.9333333333333333
opinion	5.2	Y	4.8533333333333335	preconception		0.9333333333333333
understanding	2.7142857142900003	Y	2.5546218487435297	grasping		0.9411764705882353
option	5.4		5.082352941176471	preference	Y	0.9411764705882353
permissiveness	7.83333333333333		7.311111111111108	toleration		0.9333333333333333
culture	5.4	Y	5.082352941176471	taste		0.9411764705882353
indulgence	7.166666666669999	Y	6.6888888888919995	permissiveness		0.9333333333333333
taste	4.0		3.7333333333333334	discrimination	Y	0.9333333333333333
sagacity	8.71428571429		8.201680672272941	judiciousness	Y	0.9411764705882353
position	8.166666666669999		7.538461538464614	right	Y	0.9230769230769231
know	6.4	Y	5.973333333333334	knowing		0.9333333333333333
mass	5.16666666667	Y	4.769230769233847	body		0.9230769230769231
grant	8.166666666669999		7.736842105266314	right	Y	0.9473684210526315
immigration	5.16666666667	Y	4.696969696972728	body		0.9090909090909091
photograph	6.2		5.8352941176470585	still		0.9411764705882353
human_body	5.16666666667		4.769230769233847	body		0.9230769230769231
Department_of_State	7.6		7.015384615384615	Department_of_Justice		0.9230769230769231
turn	8.166666666669999		7.77777777778095	right	Y	0.9523809523809523
welcome	7.83333333333333	Y	7.230769230769228	acceptance	Y	0.9230769230769231
catch	7.2		6.821052631578947	pawl		0.9473684210526315
explanation	6.1428571428600005		5.6703296703323085	justification	Y	0.9230769230769231
thank	7.83333333333333	Y	7.37254901960784	acknowledge		0.9411764705882353
outlaw	4.2		3.8181818181818183	bar		0.9090909090909091
pest	5.75		5.2272727272727275	oppressor	Y	0.9090909090909091
reduce	4.2	Y	3.8769230769230774	restrict	Y	0.9230769230769231
