WORD	EXPRESSED_MORAL	word_matches_potential_word_from data	adjusted_endorsement	most_similar_moral_word	word_matches_moral_word_from_original lexicon	similarity
pen	6.833333333330001		6.4736842105231585	fold		0.9473684210526315
danger	2.75		2.5384615384615388	riskiness		0.9230769230769231
indigence	3.0		2.8235294117647056	beggary	Y	0.9411764705882353
reserve	6.833333333330001		6.307692307689232	keep_open		0.9230769230769231
stab	3.0		2.727272727272727	stinger	Y	0.9090909090909091
clear	8.4		7.753846153846155	innocence	Y	0.9230769230769231
imposter	2.3333333333333304		2.222222222222219	deceiver		0.9523809523809523
fudge	2.3333333333333304		2.177777777777775	cheat		0.9333333333333333
threat	2.75		2.566666666666667	menace		0.9333333333333333
drop	2.2	Y	2.0	slump		0.9090909090909091
stretch	2.66666666667		2.5098039215717645	slack		0.9411764705882353
control	7.57142857143	Y	7.0666666666680005	restraint		0.9333333333333333
poverty	3.0	Y	2.8	destitution	Y	0.9333333333333333
bully	3.2		2.909090909090909	beast		0.9090909090909091
indulgence	4.28571428571	Y	4.0816326530571425	intemperance	Y	0.9523809523809523
intemperance	2.2		2.104347826086957	profligacy		0.9565217391304348
set	2.2	Y	2.0	bury		0.9090909090909091
position	6.5		6.117647058823529	cleanup	Y	0.9411764705882353
topographic_point	8.5		7.846153846153847	holy_place		0.9230769230769231
leash	7.57142857143		7.1260504201694115	restraint		0.9411764705882353
care	3.16666666667	Y	2.9555555555586666	work		0.9333333333333333
occupation	3.16666666667		2.9555555555586666	employment		0.9333333333333333
sphere	6.833333333330001		6.377777777774667	preserve		0.9333333333333333
Grant	2.375		2.2265625	Clay		0.9375
death	3.2	Y	2.909090909090909	fell		0.9090909090909091
future	8.0	Y	7.384615384615385	commodity		0.9230769230769231
front_man	2.3333333333333304		2.222222222222219	deceiver		0.9523809523809523
habit	7.6		7.238095238095237	cleanliness	Y	0.9523809523809523
curate	7.0		6.666666666666666	clergyman	Y	0.9523809523809523
chance	2.75	Y	2.619047619047619	risk		0.9523809523809523
turn	3.0	Y	2.727272727272727	hike		0.9090909090909091
catch	7.57142857143		7.1260504201694115	restraint		0.9411764705882353
rig	2.3333333333333304	Y	2.177777777777775	cheat		0.9333333333333333
swindle	2.3333333333333304		2.2318840579710115	scam	Y	0.9565217391304348
respect	8.4	Y	7.636363636363637	reverence	Y	0.9090909090909091
man	3.66666666667		3.4736842105294734	black		0.9473684210526315
identity	7.8	Y	7.2	oneness		0.9230769230769231
Christian	6.0		5.684210526315789	Catholic		0.9473684210526315
net_income	6.5		6.19047619047619	killing		0.9523809523809523
pay	1.875	Y	1.7045454545454546	digest		0.9090909090909091
felon	2.7142857142900003		2.571428571432632	infection		0.9473684210526315
emergence	2.7142857142900003		2.5333333333373336	eruption		0.9333333333333333
holocaust	2.75	Y	2.5	laying_waste		0.9090909090909091
abnegation	3.2		2.986666666666667	renunciation		0.9333333333333333
immorality	3.25		2.9545454545454546	corruption		0.9090909090909091
loathsomeness	2.16666666667		2.000000000003077	offensiveness		0.9230769230769231
evil	2.0	Y	1.8461538461538463	nefariousness		0.9230769230769231
nefariousness	2.2		2.0533333333333337	filthiness	Y	0.9333333333333333
iniquity	2.16666666667		2.000000000003077	foulness	Y	0.9230769230769231
reduce	2.2		2.0	take_down		0.9090909090909091
power	2.0		1.8181818181818181	repellent		0.9090909090909091
moderationist	2.2		2.0	drunken_reveler		0.9090909090909091
politician	2.375	Y	2.25	Clay		0.9473684210526315
finish	2.75	Y	2.566666666666667	downfall		0.9333333333333333
high	3.0	Y	2.727272727272727	low		0.9090909090909091
destruction	2.75	Y	2.619047619047619	laying_waste		0.9523809523809523
devastation	2.75		2.6052631578947367	ruin	Y	0.9473684210526315
tank_car	5.33333333333333		4.888888888888886	flatcar		0.9166666666666666
undertaking	3.16666666667		2.9555555555586666	work		0.9333333333333333
reverence	8.57142857143		7.9120879120892305	enshrine		0.9230769230769231
short-change	2.3333333333333304		2.177777777777775	victimize		0.9333333333333333
rubbish	2.375		2.235294117647059	debris		0.9411764705882353
earth	3.0		2.8	soil		0.9333333333333333
better	8.0	Y	7.2727272727272725	good	Y	0.9090909090909091
sign_of_the_zodiac	7.555555555560001		6.974358974363078	Virgo		0.9230769230769231
make	7.666666666669999	Y	6.969696969699999	tidy	Y	0.9090909090909091
shill	2.3333333333333304	Y	2.1212121212121184	deceiver		0.9090909090909091
mistake	5.16666666667		4.822222222225333	blot		0.9333333333333333
error	1.8571428571400002		1.7142857142830772	evil	Y	0.9230769230769231
defect	4.0		3.6363636363636362	imperfection	Y	0.9090909090909091
building	2.75	Y	2.566666666666667	ruin	Y	0.9333333333333333
