WORD	EXPRESSED_MORAL	word_matches_potential_word_from data	adjusted_endorsement	most_similar_moral_word	word_matches_moral_word_from_original lexicon	similarity
hand	7.5		7.173913043478261	side		0.9565217391304348
man	7.2		6.821052631578947	lover		0.9473684210526315
slice	8.5		7.846153846153847	share		0.9230769230769231
worldly_concern	8.5		7.727272727272727	part		0.9090909090909091
world	8.0		7.2727272727272725	class		0.9090909090909091
hired_hand	7.1428571428600005		6.547619047621667	lumberman		0.9166666666666666
gentleman	7.1428571428600005		6.802721088438095	gent		0.9523809523809523
firearm	2.8		2.6782608695652175	repeating_firearm		0.9565217391304348
pen	8.875		8.407894736842104	fold		0.9473684210526315
appoint	5.88888888889		5.353535353536364	pack		0.9090909090909091
make_up	2.6666666666666696		2.424242424242427	rouge	Y	0.9090909090909091
set	8.5	Y	7.727272727272727	union		0.9090909090909091
hairdo	7.5		7.105263157894736	bang		0.9473684210526315
make_out	8.71428571429		8.299319727895238	suggest		0.9523809523809523
act	7.1428571428600005		6.722689075632942	decree		0.9411764705882353
attire	2.28571428571		2.1654135338305265	hairpiece		0.9473684210526315
use	3.5		3.2666666666666666	misuse		0.9333333333333333
serve	8.6		8.256	ace		0.96
wish	7.1428571428600005		6.593406593409232	order		0.9230769230769231
command	4.71428571429	Y	4.466165413537895	requisition		0.9473684210526315
desire	4.42857142857143		4.133333333333335	hunger		0.9333333333333333
access	1.33333333333		1.2444444444413332	entrance		0.9333333333333333
contract	2.875		2.6136363636363638	catch		0.9090909090909091
acclaim	7.5		6.818181818181818	applaud		0.9090909090909091
number	8.166666666669999		7.622222222225332	company		0.9333333333333333
climax	6.833333333330001		6.307692307689232	juncture		0.9230769230769231
sum	3.85714285714		3.5604395604369232	loss		0.9230769230769231
descent	6.375		6.039473684210526	flop		0.9473684210526315
approach	2.6666666666666696	Y	2.444444444444447	hook		0.9166666666666666
control	7.5		7.199999999999999	ceiling		0.96
gull	1.33333333333		1.2307692307661537	deceive		0.9230769230769231
hold	6.0		5.684210526315789	cell		0.9473684210526315
experience	7.5		6.923076923076923	good_time		0.9230769230769231
provoke	1.33333333333		1.2121212121181817	lead_on		0.9090909090909091
digest	8.0		7.2727272727272725	pay		0.9090909090909091
take_in	8.0		7.2727272727272725	house		0.9090909090909091
delay	6.375		5.95	break		0.9333333333333333
feature	5.2		4.926315789473684	external		0.9473684210526315
handle	6.625		6.0227272727272725	appendage		0.9090909090909091
let	8.6		7.938461538461539	ace		0.9230769230769231
killing	3.3333333333333304		3.1746031746031718	fell		0.9523809523809523
ride	1.57142857143		1.4965986394571429	carousel		0.9523809523809523
attempt	8.5		7.933333333333334	contribution		0.9333333333333333
military_unit	8.71428571429		8.133333333337333	enemy		0.9333333333333333
violence	7.857142857142861		7.3333333333333375	aggression		0.9333333333333333
push	2.28571428571		2.1654135338305265	bull		0.9473684210526315
Aries	8.0		7.384615384615385	sign_of_the_zodiac		0.9230769230769231
labor	8.0		7.2727272727272725	class		0.9090909090909091
drive	4.42857142857143		4.133333333333335	hunger		0.9333333333333333
Department_of_Labor	5.2		4.800000000000001	Department_of_the_Interior		0.9230769230769231
come_out_of_the_closet	6.375		5.884615384615385	unwrap		0.9230769230769231
out	6.375		5.884615384615385	unwrap		0.9230769230769231
forbid	1.5		1.4285714285714284	outlaw		0.9523809523809523
unwrap	1.33333333333		1.2307692307661537	betray		0.9230769230769231
circulate	2.77777777778		2.5641025641046156	publicize		0.9230769230769231
outdoors	5.2		4.800000000000001	outside		0.9230769230769231
surface	5.2		4.894117647058824	outside		0.9411764705882353
spread	6.833333333330001	Y	6.212121212118182	stick		0.9090909090909091
debunk	3.5		3.1818181818181817	ridicule		0.9090909090909091
ensnare	1.33333333333		1.2307692307661537	deceive		0.9230769230769231
restrict	7.857142857142861		7.142857142857146	control		0.9090909090909091
inning	8.5		8.0	part		0.9411764705882353
frame	6.833333333330001		6.4736842105231585	give_voice		0.9473684210526315
human_body	4.28571428571		3.999999999996	person		0.9333333333333333
cigarette	6.833333333330001		6.536231884054783	joint	Y	0.9565217391304348
butt_joint	6.833333333330001		6.4736842105231585	joint	Y	0.9473684210526315
boundary	6.625		6.115384615384616	extremity		0.9230769230769231
molding	3.5		3.2666666666666666	rib		0.9333333333333333
edge	7.5		7.0	side		0.9333333333333333
More	3.5		3.1818181818181817	Sully		0.9090909090909091
fudge	1.33333333333		1.2549019607811764	juggle		0.9411764705882353
imposter	1.0		0.9523809523809523	deceiver		0.9523809523809523
hypocrite	1.0		0.9523809523809523	deceiver		0.9523809523809523
fraud	1.33333333333		1.2753623188373913	goldbrick		0.9565217391304348
actor	3.25		3.095238095238095	Coward		0.9523809523809523
malingerer	1.33333333333		1.2121212121181817	goldbrick		0.9090909090909091
fake	2.28571428571		2.1654135338305265	imitation		0.9473684210526315
counterfeit	2.28571428571		2.1654135338305265	imitation		0.9473684210526315
imitation	2.28571428571		2.1654135338305265	fake		0.9473684210526315
Taurus	8.0		7.384615384615385	sign_of_the_zodiac		0.9230769230769231
bull	7.1428571428600005		6.76691729323579	decree		0.9473684210526315
juke	6.833333333330001		6.507936507933334	joint	Y	0.9523809523809523
terror	2.6666666666666696	Y	2.539682539682542	imp		0.9523809523809523
panic	1.6		1.4545454545454546	terrify		0.9090909090909091
Muslim	2.66666666667		2.526315789476842	Jihadist		0.9473684210526315
invasion	1.33333333333	Y	1.2549019607811764	entrance		0.9411764705882353
intrusion	1.33333333333		1.2549019607811764	entrance		0.9411764705882353
Associate_in_Nursing	7.1428571428600005		6.722689075632942	associate_degree		0.9411764705882353
exemption	1.42857142857		1.366459627327826	release		0.9565217391304348
beginning	8.5		8.0	part		0.9411764705882353
first_base	5.2		4.7272727272727275	home_plate		0.9090909090909091
attack	2.875		2.7058823529411766	touch		0.9411764705882353
beat	1.0		0.9230769230769231	cheat		0.9230769230769231
pad	1.0		0.9090909090909091	rat		0.9090909090909091
round	7.5		6.923076923076923	applause		0.9230769230769231
turn	8.5		8.0	part		0.9411764705882353
bust	1.6		1.4545454545454546	orgy		0.9090909090909091
traffic_circle	6.833333333330001		6.377777777774667	junction		0.9333333333333333
hint	8.71428571429		8.201680672272941	intimate		0.9411764705882353
rede	1.33333333333		1.2444444444413332	misadvise		0.9333333333333333
determination	6.4		5.907692307692308	doggedness		0.9230769230769231
star	2.28571428571		2.1768707482952383	actor		0.9523809523809523
molarity	8.0		7.2727272727272725	concentration		0.9090909090909091
promise	7.555555555560001		6.86868686869091	commitment		0.9090909090909091
call	7.1428571428600005		6.593406593409232	order		0.9230769230769231
name	8.166666666669999		7.686274509807057	family		0.9411764705882353
claim	4.71428571429	Y	4.351648351652308	requisition		0.9230769230769231
material	7.5		7.0588235294117645	roofing	Y	0.9411764705882353
handler	6.0		5.5	deputy		0.9166666666666666
director	6.625		6.0227272727272725	member	Y	0.9090909090909091
invalidate	6.375		5.795454545454545	break		0.9090909090909091
bar	1.5		1.3636363636363635	outlaw		0.9090909090909091
marine	1.33333333333	Y	1.2307692307661537	goldbrick		0.9230769230769231
back	8.0		7.466666666666667	champion		0.9333333333333333
stall	1.0		0.9090909090909091	shop		0.9090909090909091
keep_open	7.857142857142861		7.252747252747257	reserve		0.9230769230769231
fund	8.0		7.2727272727272725	invest		0.9090909090909091
accompaniment	8.5		7.933333333333334	part		0.9333333333333333
house	5.2		4.894117647058824	dwelling		0.9411764705882353
keep	7.1428571428600005		6.593406593409232	lodge		0.9230769230769231
support	3.5		3.2941176470588234	rib		0.9411764705882353
rear	7.5		7.0	side		0.9333333333333333
pickpocket	8.0		7.384615384615385	booster		0.9230769230769231
discharge	7.5		6.923076923076923	volcanic_eruption		0.9230769230769231
write_down	3.5		3.1818181818181817	note		0.9090909090909091
golf_stroke	2.6666666666666696		2.5507246376811623	hook		0.9565217391304348
baseball_swing	6.375		5.795454545454545	break		0.9090909090909091
pervert	2.8	Y	2.6666666666666665	reprobate		0.9523809523809523
overlook	2.875		2.653846153846154	topographic_point		0.9230769230769231
abstinence	8.875		8.407894736842104	fast		0.9473684210526315
space	2.6666666666666696		2.4888888888888916	key		0.9333333333333333
spare	6.375		5.795454545454545	break		0.9090909090909091
mercantile_establishment	1.0		0.9473684210526315	shop		0.9473684210526315
emergence	7.5		7.0	eruption		0.9333333333333333
choke	7.5		6.818181818181818	clack_valve		0.9090909090909091
